report_id,report_key,filer_name,filing_date,filing_format,report_url,status,transactions_found,error,checked_at_utc
a281e3d8-07ad-434d-a8e3-b596b997e55a,a281e3d8-07ad-434d-a8e3-b596b997e55a,Mark R Warner,2021-09-08,electronic_html,https://efdsearch.senate.gov/search/view/ptr/a281e3d8-07ad-434d-a8e3-b596b997e55a/,ok_reused,1,,2026-09-10T17:05:26Z
d9700aee-b8d6-4eb3-bf67-676134edae39,d9700aee-b8d6-4eb3-bf67-676134edae39,Thomas H Tuberville,2021-09-08,electronic_html,https://efdsearch.senate.gov/search/view/ptr/d9700aee-b8d6-4eb3-bf67-676134edae39/,ok_reused,17,,2026-09-10T17:05:26Z
1f256949-caed-40d5-8076-d9243221bbc4,1f256949-caed-40d5-8076-d9243221bbc4,JOHN BOOZMAN,2021-09-08,paper_scan,https://efdsearch.senate.gov/search/view/paper/1f256949-caed-40d5-8076-d9243221bbc4/,paper_deferred,0,Paper filing intentionally deferred to a future project.,2026-09-10T17:05:26Z
de267ca2-8849-4bd9-a6a5-2ac1358b7d24,de267ca2-8849-4bd9-a6a5-2ac1358b7d24,JOHN BOOZMAN,2021-08-31,paper_scan,https://efdsearch.senate.gov/search/view/paper/de267ca2-8849-4bd9-a6a5-2ac1358b7d24/,paper_deferred,0,Paper filing intentionally deferred to a future project.,2026-09-10T17:05:26Z
4430ac89-7784-4f2f-8417-2f0072874995,4430ac89-7784-4f2f-8417-2f0072874995,Mark E Kelly,2021-08-16,electronic_html,https://efdsearch.senate.gov/search/view/ptr/4430ac89-7784-4f2f-8417-2f0072874995/,ok_reused,1,,2026-09-10T17:05:26Z
4a7a7530-6012-4a41-8fbc-3c4842f9303e,4a7a7530-6012-4a41-8fbc-3c4842f9303e,Christopher A Coons,2021-08-16,electronic_html,https://efdsearch.senate.gov/search/view/ptr/4a7a7530-6012-4a41-8fbc-3c4842f9303e/,ok_reused,2,,2026-09-10T17:05:26Z
e3c66cc8-ca84-4899-b3dd-21a0a400ffc6,e3c66cc8-ca84-4899-b3dd-21a0a400ffc6,Roger W Marshall,2021-08-13,electronic_html,https://efdsearch.senate.gov/search/view/ptr/e3c66cc8-ca84-4899-b3dd-21a0a400ffc6/,ok_reused,1,,2026-09-10T17:05:26Z
9df3fe53-21d5-43a5-a632-ea804aca39a3,9df3fe53-21d5-43a5-a632-ea804aca39a3,Thomas H Tuberville,2021-08-13,electronic_html,https://efdsearch.senate.gov/search/view/ptr/9df3fe53-21d5-43a5-a632-ea804aca39a3/,ok_reused,30,,2026-09-10T17:05:26Z
19dc5bc2-296b-459f-89c4-778307ee9556,19dc5bc2-296b-459f-89c4-778307ee9556,John Hoeven,2021-08-11,electronic_html,https://efdsearch.senate.gov/search/view/ptr/19dc5bc2-296b-459f-89c4-778307ee9556/,ok_reused,1,,2026-09-10T17:05:26Z
045f76aa-7ae2-4040-a603-67b5ebc3b271,045f76aa-7ae2-4040-a603-67b5ebc3b271,Shelley M Capito,2021-08-11,electronic_html,https://efdsearch.senate.gov/search/view/ptr/045f76aa-7ae2-4040-a603-67b5ebc3b271/,ok_reused,5,,2026-09-10T17:05:26Z
5407f18e-8faa-4f1e-a8bf-6cf7a2ffe5bd,5407f18e-8faa-4f1e-a8bf-6cf7a2ffe5bd,Rand Paul,2021-08-11,electronic_html,https://efdsearch.senate.gov/search/view/ptr/5407f18e-8faa-4f1e-a8bf-6cf7a2ffe5bd/,ok_reused,1,,2026-09-10T17:05:26Z
400a40ef-9e53-4b18-8c61-06e0a485cc08,400a40ef-9e53-4b18-8c61-06e0a485cc08,Susan M Collins,2021-08-09,electronic_html,https://efdsearch.senate.gov/search/view/ptr/400a40ef-9e53-4b18-8c61-06e0a485cc08/,ok_reused,1,,2026-09-10T17:05:26Z
f0c49765-8045-4aa6-a699-2fc462b00526,f0c49765-8045-4aa6-a699-2fc462b00526,John W Hickenlooper,2021-08-09,electronic_html,https://efdsearch.senate.gov/search/view/ptr/f0c49765-8045-4aa6-a699-2fc462b00526/,ok_reused,2,,2026-09-10T17:05:26Z
267d588f-a44e-46c0-8654-9b6396851c34,267d588f-a44e-46c0-8654-9b6396851c34,Sheldon Whitehouse,2021-08-06,electronic_html,https://efdsearch.senate.gov/search/view/ptr/267d588f-a44e-46c0-8654-9b6396851c34/,ok_reused,2,,2026-09-10T17:05:26Z
58e7336b-77cd-491f-99ea-6bd8d2def825,58e7336b-77cd-491f-99ea-6bd8d2def825,RICHARD BLUMENTHAL,2021-08-05,paper_scan,https://efdsearch.senate.gov/search/view/paper/58e7336b-77cd-491f-99ea-6bd8d2def825/,paper_deferred,0,Paper filing intentionally deferred to a future project.,2026-09-10T17:05:26Z
56ff7a1f-ddf5-42cf-9f9d-892e2c483511,56ff7a1f-ddf5-42cf-9f9d-892e2c483511,Gary C Peters,2021-08-03,electronic_html,https://efdsearch.senate.gov/search/view/ptr/56ff7a1f-ddf5-42cf-9f9d-892e2c483511/,ok_reused,2,,2026-09-10T17:05:26Z
ebdeed3c-9789-4bae-acc4-298448c28344,ebdeed3c-9789-4bae-acc4-298448c28344,"Angus S King, Jr.",2021-07-28,electronic_html,https://efdsearch.senate.gov/search/view/ptr/ebdeed3c-9789-4bae-acc4-298448c28344/,ok_reused,3,,2026-09-10T17:05:26Z
89f81dcb-e3d3-4c79-bc26-3aa06b346e41,89f81dcb-e3d3-4c79-bc26-3aa06b346e41,Sheldon Whitehouse,2021-07-23,electronic_html,https://efdsearch.senate.gov/search/view/ptr/89f81dcb-e3d3-4c79-bc26-3aa06b346e41/,ok_reused,1,,2026-09-10T17:05:26Z
3bdd9340-7c8c-4ed0-898d-dad3835940d2,3bdd9340-7c8c-4ed0-898d-dad3835940d2,Thomas H Tuberville,2021-07-23,electronic_html,https://efdsearch.senate.gov/search/view/ptr/3bdd9340-7c8c-4ed0-898d-dad3835940d2/,ok_reused,132,,2026-09-10T17:05:26Z
1d84ad6b-1e5f-45b7-a95a-a9cdcb46c69b,1d84ad6b-1e5f-45b7-a95a-a9cdcb46c69b,Thomas H Tuberville,2021-07-16,electronic_html,https://efdsearch.senate.gov/search/view/ptr/1d84ad6b-1e5f-45b7-a95a-a9cdcb46c69b/,ok_reused,6,,2026-09-10T17:05:26Z
84915b6e-846b-411b-907e-46fd4a179919,84915b6e-846b-411b-907e-46fd4a179919,Shelley M Capito,2021-07-16,electronic_html,https://efdsearch.senate.gov/search/view/ptr/84915b6e-846b-411b-907e-46fd4a179919/,ok_reused,4,,2026-09-10T17:05:26Z
