first_name,last_name,filer_name,office,filing_date,report_title,report_id,report_key,filing_format,report_url
Mark R,Warner,Mark R Warner,"Warner, Mark (Senator)",2023-12-19,Periodic Transaction Report for 12/19/2023,a1a9f50d-8027-40b9-8260-514a1a140615,a1a9f50d-8027-40b9-8260-514a1a140615,electronic_html,https://efdsearch.senate.gov/search/view/ptr/a1a9f50d-8027-40b9-8260-514a1a140615/
Shelley M,Capito,Shelley M Capito,"Capito, Shelley Moore (Senator)",2023-12-19,Periodic Transaction Report for 12/19/2023,db451761-8791-4226-b5ef-21582ac6a228,db451761-8791-4226-b5ef-21582ac6a228,electronic_html,https://efdsearch.senate.gov/search/view/ptr/db451761-8791-4226-b5ef-21582ac6a228/
A. Mitchell,"McConnell, Jr.","A. Mitchell McConnell, Jr.","McConnell, A. Mitchell Jr. (Senator)",2023-12-18,Periodic Transaction Report for 12/18/2023,87e49767-79f9-4e2f-8ad1-30585d4bd673,87e49767-79f9-4e2f-8ad1-30585d4bd673,electronic_html,https://efdsearch.senate.gov/search/view/ptr/87e49767-79f9-4e2f-8ad1-30585d4bd673/
Katie,Britt,Katie Britt,"Britt, Katie (Senator)",2023-12-15,Periodic Transaction Report for 12/16/2023,56e94501-503d-480f-96f0-354febac789e,56e94501-503d-480f-96f0-354febac789e,electronic_html,https://efdsearch.senate.gov/search/view/ptr/56e94501-503d-480f-96f0-354febac789e/
Thomas H,Tuberville,Thomas H Tuberville,"Tuberville, Tommy (Senator)",2023-12-15,Periodic Transaction Report for 12/15/2023,d4e95f06-60b2-43c5-9084-91ae10b9fde3,d4e95f06-60b2-43c5-9084-91ae10b9fde3,electronic_html,https://efdsearch.senate.gov/search/view/ptr/d4e95f06-60b2-43c5-9084-91ae10b9fde3/
RICHARD,BLUMENTHAL,RICHARD BLUMENTHAL,Senator,2023-12-15,Periodic Transaction Report for 12/15/2023,8372e04b-ed41-41f2-a780-f4ce4db9cac0,8372e04b-ed41-41f2-a780-f4ce4db9cac0,paper_scan,https://efdsearch.senate.gov/search/view/paper/8372e04b-ed41-41f2-a780-f4ce4db9cac0/
John,Boozman,John Boozman,"Boozman, John (Senator)",2023-12-12,Periodic Transaction Report for 12/12/2023,f80f54a3-981e-4f11-8774-2a919db38389,f80f54a3-981e-4f11-8774-2a919db38389,electronic_html,https://efdsearch.senate.gov/search/view/ptr/f80f54a3-981e-4f11-8774-2a919db38389/
Shelley M,Capito,Shelley M Capito,"Capito, Shelley Moore (Senator)",2023-12-11,Periodic Transaction Report for 12/11/2023,f5f28f25-43fe-48f8-af40-ea83c8d6f0a9,f5f28f25-43fe-48f8-af40-ea83c8d6f0a9,electronic_html,https://efdsearch.senate.gov/search/view/ptr/f5f28f25-43fe-48f8-af40-ea83c8d6f0a9/
Rick,Scott,Rick Scott,"Scott, Rick (Senator)",2023-12-10,Periodic Transaction Report for 12/11/2023,f23ecd4c-3174-4fba-90ae-a9a825b4a22f,f23ecd4c-3174-4fba-90ae-a9a825b4a22f,electronic_html,https://efdsearch.senate.gov/search/view/ptr/f23ecd4c-3174-4fba-90ae-a9a825b4a22f/
Sheldon,Whitehouse,Sheldon Whitehouse,"Whitehouse, Sheldon (Senator)",2023-12-07,Periodic Transaction Report for 12/07/2023,b46702f8-b4c8-4d63-8a57-fbd4399cabab,b46702f8-b4c8-4d63-8a57-fbd4399cabab,electronic_html,https://efdsearch.senate.gov/search/view/ptr/b46702f8-b4c8-4d63-8a57-fbd4399cabab/
Gary C,Peters,Gary C Peters,"Peters, Gary (Senator)",2023-12-01,Periodic Transaction Report for 12/01/2023,23092692-9a3b-418e-85b9-3b660a52db8c,23092692-9a3b-418e-85b9-3b660a52db8c,electronic_html,https://efdsearch.senate.gov/search/view/ptr/23092692-9a3b-418e-85b9-3b660a52db8c/
Angus S,"King, Jr.","Angus S King, Jr.","King, Angus (Senator)",2023-11-28,Periodic Transaction Report for 11/28/2023,1243bbc1-0185-4ede-a8e9-c15ab2b709ac,1243bbc1-0185-4ede-a8e9-c15ab2b709ac,electronic_html,https://efdsearch.senate.gov/search/view/ptr/1243bbc1-0185-4ede-a8e9-c15ab2b709ac/
Tina,Smith,Tina Smith,"Smith, Tina (Senator)",2023-11-20,Periodic Transaction Report for 11/20/2023,de3cd462-f294-4333-a9b3-cccd64e711b2,de3cd462-f294-4333-a9b3-cccd64e711b2,electronic_html,https://efdsearch.senate.gov/search/view/ptr/de3cd462-f294-4333-a9b3-cccd64e711b2/
Thomas H,Tuberville,Thomas H Tuberville,"Tuberville, Tommy (Senator)",2023-11-16,Periodic Transaction Report for 11/16/2023,25e0814a-7ea9-41b7-96e6-9c59fbc8c0e3,25e0814a-7ea9-41b7-96e6-9c59fbc8c0e3,electronic_html,https://efdsearch.senate.gov/search/view/ptr/25e0814a-7ea9-41b7-96e6-9c59fbc8c0e3/
John,Boozman,John Boozman,"Boozman, John (Senator)",2023-11-07,Periodic Transaction Report for 11/07/2023,c1adc02c-a9f6-4643-a4e8-43bf67c0d620,c1adc02c-a9f6-4643-a4e8-43bf67c0d620,electronic_html,https://efdsearch.senate.gov/search/view/ptr/c1adc02c-a9f6-4643-a4e8-43bf67c0d620/
John P,Ricketts,John P Ricketts,"Ricketts, Pete (Senator)",2023-10-20,Periodic Transaction Report for 10/20/2023,7c54bfd2-2445-4cae-96b1-1188ae921230,7c54bfd2-2445-4cae-96b1-1188ae921230,electronic_html,https://efdsearch.senate.gov/search/view/ptr/7c54bfd2-2445-4cae-96b1-1188ae921230/
William F,"Hagerty, IV","William F Hagerty, IV","Hagerty, Bill (Senator)",2023-10-18,Periodic Transaction Report for 10/18/2023,dc545c54-6034-406d-9af3-43ad7bd29cda,dc545c54-6034-406d-9af3-43ad7bd29cda,electronic_html,https://efdsearch.senate.gov/search/view/ptr/dc545c54-6034-406d-9af3-43ad7bd29cda/
Sheldon,Whitehouse,Sheldon Whitehouse,"Whitehouse, Sheldon (Senator)",2023-10-17,Periodic Transaction Report for 10/17/2023,7b5ea4a8-cef8-49da-a63e-a2e2a7e54590,7b5ea4a8-cef8-49da-a63e-a2e2a7e54590,electronic_html,https://efdsearch.senate.gov/search/view/ptr/7b5ea4a8-cef8-49da-a63e-a2e2a7e54590/
Shelley M,Capito,Shelley M Capito,"Capito, Shelley Moore (Senator)",2023-10-14,Periodic Transaction Report for 10/14/2023,e158755a-9569-408d-a3d6-bd3563a837df,e158755a-9569-408d-a3d6-bd3563a837df,electronic_html,https://efdsearch.senate.gov/search/view/ptr/e158755a-9569-408d-a3d6-bd3563a837df/
Thomas H,Tuberville,Thomas H Tuberville,"Tuberville, Tommy (Senator)",2023-10-13,Periodic Transaction Report for 10/13/2023,3eb948ba-1409-4224-86d9-1236de63d137,3eb948ba-1409-4224-86d9-1236de63d137,electronic_html,https://efdsearch.senate.gov/search/view/ptr/3eb948ba-1409-4224-86d9-1236de63d137/
Sheldon,Whitehouse,Sheldon Whitehouse,"Whitehouse, Sheldon (Senator)",2023-10-03,Periodic Transaction Report for 10/03/2023,d798a094-353b-4186-aa90-8122dd5960d1,d798a094-353b-4186-aa90-8122dd5960d1,electronic_html,https://efdsearch.senate.gov/search/view/ptr/d798a094-353b-4186-aa90-8122dd5960d1/
